BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by Daniel Gale Sotheby's International Realty;House for sale;749000;2;1.0;2184.207862;164-30 77th Rd;Fresh Meadows, NY 11366;164-30 77th RdFresh Meadows, NY 11366;United States;New York;Queens County;Queens;77th Road;164-30 77th Rd, Flushing, NY 11366, USA;40.7236718;-73.8030548
Brokered by Robert Defalco Realty Inc.;Multi-family home for sale;589999;4;2.0;1680.0;393 Heberton Ave;Staten Island, NY 10302;393 Heberton AveStaten Island, NY 10302;United States;New York;Richmond County;Staten Island;Heberton Avenue;393 Heberton Ave, Staten Island, NY 10302, USA;40.6314894;-74.1348461
Brokered by COMPASS;Multi-family home for sale;6995000;20;20.0;12492.0;76 Irving Pl;Manhattan, NY 10003;76 Irving PlManhattan, NY 10003;United States;New York;New York County;New York;Irving Place;76 Irving Pl, New York, NY 10003, USA;;
Brokered by Douglas Elliman - 575 Madison Ave;Townhouse for sale;22500000;5;6.0;8725.0;10 E 64th St;New York, NY 10065;10 E 64th StNew York, NY 10065;United States;New York;New York County;New York;East 64th Street;10 E 64th St, New York, NY 10065, USA;;
Brokered by Homefinders of SI Inc.;House for sale;749000;3;2.0;1332.0;206 Watchogue Rd;Staten Island, NY 10314;206 Watchogue RdStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Watchogue Road;206 Watchogue Rd, Staten Island, NY 10314, USA;40.6155772;-74.1364517
Brokered by Exp Realty;Condo for sale;499000;3;2.0;1156.0;86-10 Dumont Ave Unit 5C;Ozone Park, NY 11417;86-10 Dumont Ave Unit 5COzone Park, NY 11417;New York;Queens County;Queens;Ozone Park;86-10;86-10 Dumont Ave #5c, Ozone Park, NY 11417, USA;40.6726721;-73.8496745
Brokered by RUMIC Realty Inc;House for sale;859000;3;3.0;2184.207862;100-03 205th Pl;Hollis, NY 11423;100-03 205th PlHollis, NY 11423;;New York;Queens County;Queens;205th Place;100-03 205th Pl, Jamaica, NY 11423, USA;40.71176;-73.753743
Brokered by Corcoran Brooklyn Heights;Pending;599999;2;2.0;2184.207862;2601 E 24th St Apt 3B;Brooklyn, NY 11235;2601 E 24th St Apt 3BBrooklyn, NY 11235;New York;Kings County;Brooklyn;Sheepshead Bay;2601;2601 E 24th St #3b, Brooklyn, NY 11235, USA;40.5887895;-73.9452357
Brokered by BROOKLYN`S 4 U REALTY;House for sale;899000;3;2.0;1324.0;2277 National Dr;Brooklyn, NY 11234;2277 National DrBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;National Drive;2277 National Dr, Brooklyn, NY 11234, USA;40.6055237;-73.9143161
Brokered by Bright Horizons Realty Inc;Co-op for sale;315000;2;1.0;850.0;5640 Avenue T Unit 84F;Brooklyn, NY 11234;5640 Avenue T Unit 84FBrooklyn, NY 11234;New York;Kings County;Brooklyn;Mill Basin;5640;5640 Avenue T #84, Brooklyn, NY 11234, USA;40.6142504;-73.9196974
Brokered by Robert Defalco Realty, Inc.;House for sale;1999999;5;;5301.0;220 Douglas Rd;Staten Island, NY 10304;220 Douglas RdStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Douglas Road;220 Douglas Rd, Staten Island, NY 10301, USA;40.6071393;-74.097086
Brokered by Exp Realty;House for sale;950000;4;3.0;1746.0;104-02 223rd St;Queens Village, NY 11429;104-02 223rd StQueens Village, NY 11429;United States;New York;Queens County;Queens;223rd Street;104-02 223rd St, Jamaica, NY 11429, USA;40.7107548;-73.7320869
Brokered by COMPASS;Townhouse for sale;13950000;6;6.0;6798.0;135 E 19th St;Manhattan, NY 10003;135 E 19th StManhattan, NY 10003;United States;New York;New York County;New York;East 19th Street;135 E 19th St, New York, NY 10003, USA;40.736891;-73.985669
Brokered by Sovereign Realty Of Ny Inc;House for sale;1399000;5;3.0;3375.0;91-09 165th Ave;Howard Beach, NY 11414;91-09 165th AveHoward Beach, NY 11414;United States;New York;Queens County;Queens;165th Avenue;91-09 165th Ave, Jamaica, NY 11414, USA;40.6491159;-73.8389887
Brokered by COMPASS;Condo for sale;595000;3;1.0;660.0;55 Wall St Apt 714;Manhattan, NY 10005;55 Wall St Apt 714Manhattan, NY 10005;New York;New York County;New York;Manhattan;55;55 Wall St APT 714, New York, NY 10005, USA;40.7059312;-74.0093393
Brokered by TALK OF THE TOWN REALTY C;House for sale;1618000;5;2.0;2200.0;2247 E 66th St;Brooklyn, NY 11234;2247 E 66th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 66th Street;2247 E 66th St, Brooklyn, NY 11234, USA;40.6148883;-73.9078973
Brokered by Douglas Elliman - Bayside;Pending;485000;6;3.0;2184.207862;1311 Needham Ave;Bronx, NY 10469;1311 Needham AveBronx, NY 10469;;New York;Bronx County;The Bronx;Needham Avenue;1311 Needham Ave, Bronx, NY 10469, USA;40.8781862;-73.8523657
Brokered by Century 21 Awaye Realty;Contingent;748000;3;2.0;1592.0;476 Darlington Ave;Staten Island, NY 10309;476 Darlington AveStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Darlington Avenue;476 Darlington Ave, Staten Island, NY 10309, USA;40.5342218;-74.2016301
Brokered by Ben Bay Realty Company of Staten Island LLC;Multi-family home for sale;1100000;3;2.0;1928.0;307 Ellis St;Staten Island, NY 10307;307 Ellis StStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Ellis Street;307 Ellis St, Staten Island, NY 10307, USA;;
Brokered by COMPASS;Townhouse for sale;3995000;8;8.0;5046.0;322 W 104th St;Manhattan, NY 10025;322 W 104th StManhattan, NY 10025;United States;New York;New York County;New York;West 104th Street;322 W 104th St, New York, NY 10025, USA;40.80059;-73.97071
Brokered by Century 21 Realty First;Co-op for sale;659000;1;1.0;440.0;202 Baltic St Unit 1;Brooklyn, NY 11201;202 Baltic St Unit 1Brooklyn, NY 11201;New York;Kings County;Brooklyn;Cobble Hill;202;202 Baltic St # 1, Brooklyn, NY 11201, USA;40.6867525;-73.996485
Brokered by Century Homes Realty Group LLC;Multi-family home for sale;1099000;6;3.0;2018.0;58-15 Granger St;Corona, NY 11368;58-15 Granger StCorona, NY 11368;United States;New York;Queens County;Queens;Granger Street;58-15 Granger St, Flushing, NY 11368, USA;40.7385519;-73.8545527
Brokered by YourHomeSold Guarantee Realty;Condo for sale;319000;2;2.0;1102.0;135 Sunset Blvd Unit 10135;Bronx, NY 10473;135 Sunset Blvd Unit 10135Bronx, NY 10473;United States;New York;Bronx County;The Bronx;Sunset Boulevard;135 Sunset Blvd, Bronx, NY 10473, USA;40.806951;-73.853401
Brokered by Exp Realty;Multi-family home for sale;999000;9;3.0;3168.0;1670 Nelson Ave;Bronx, NY 10453;1670 Nelson AveBronx, NY 10453;United States;New York;Bronx County;The Bronx;Nelson Avenue;1670 Nelson Ave, Bronx, NY 10453, USA;40.8474641;-73.9177608
Brokered by Legacy Estate Realty;Co-op for sale;398000;3;2.0;1571.0;170-40 Highland Ave Unit 107;Jamaica, NY 11432;170-40 Highland Ave Unit 107Jamaica, NY 11432;New York;Queens County;Queens;Jamaica;17040;17040 Highland Ave Apt 107, Jamaica, NY 11432, USA;40.7125699;-73.79318
Brokered by New Heights Realty;Co-op for sale;249000;3;1.0;500.0;100 Park Terrace Ter W Unit 1H;New York, NY 10034;100 Park Terrace Ter W Unit 1HNew York, NY 10034;;New York County;New York;Manhattan;100;100 Park Terrace W #1h, New York, NY 10034, USA;40.8717961;-73.916064
Brokered by B Square Realty;Multi-family home for sale;1299000;3;2.0;2648.0;149-19 46th Ave;Flushing, NY 11355;149-19 46th AveFlushing, NY 11355;United States;New York;Queens County;Queens;46th Avenue;149-19 46th Ave, Flushing, NY 11355, USA;40.7544269;-73.8114185
Brokered by Nest Seekers International, Midtown;Townhouse for sale;8950000;3;6.0;6336.0;209 E 31st St;New York, NY 10016;209 E 31st StNew York, NY 10016;United States;New York;New York County;New York;East 31st Street;209 E 31st St, New York, NY 10016, USA;40.7437415;-73.978774
Brokered by Jaymore Realty Llc;House for sale;750000;5;3.0;1500.0;13035 146th St;South Ozone Park, NY 11436;13035 146th StSouth Ozone Park, NY 11436;United States;New York;Queens County;Queens;146th Street;130-35 146th St, Jamaica, NY 11436, USA;40.6693291;-73.7924388
Brokered by COMPASS;Multi-family home for sale;1100000;5;3.0;1916.0;1720 E 51st St;Brooklyn, NY 11234;1720 E 51st StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 51st Street;1720 E 51st St, Brooklyn, NY 11234, USA;40.6183626;-73.9260392
Brokered by Robert Defalco Realty, Inc.;House for sale;1275000;3;4.0;2380.0;47 Brookside Loop;Staten Island, NY 10309;47 Brookside LoopStaten Island, NY 10309;United States;New York;Richmond County;Staten Island;Brookside Loop;47 Brookside Lp, Staten Island, NY 10309, USA;40.5393625;-74.214287
Brokered by RELIABLE SELL & BUY REALTY INC;House for sale;689000;2;2.0;750.0;2848 Brighton 4th St;Brooklyn, NY 11235;2848 Brighton 4th StBrooklyn, NY 11235;;New York;Kings County;Brooklyn;Brighton 4th Street;2848 Brighton 4th St, Brooklyn, NY 11235, USA;40.5817208;-73.9645608
Brokered by Exp Realty;Co-op for sale;320000;1;1.0;2184.207862;2 Dartmouth St Apt M28;Forest Hills, NY 11375;2 Dartmouth St Apt M28Forest Hills, NY 11375;United States;New York;Queens County;Queens;Dartmouth Street;2 Dartmouth St, Forest Hills, NY 11375, USA;40.7192438;-73.8499268
Brokered by Brown Harris Stevens;Townhouse for sale;3995000;5;6.0;2184.207862;37 Prospect Pl Unit Townhouse;Brooklyn, NY 11217;37 Prospect Pl Unit TownhouseBrooklyn, NY 11217;United States;New York;Kings County;Brooklyn;Prospect Place;37 Prospect Pl, Brooklyn, NY 11217, USA;40.6799381;-73.9764616
Brokered by Prestige Homes Ny Inc;Multi-family home for sale;1399000;6;5.0;2500.0;128-17 143rd St;Jamaica, NY 11436;128-17 143rd StJamaica, NY 11436;United States;New York;Queens County;Queens;143rd Street;128-17 143rd St, Jamaica, NY 11436, USA;40.6717866;-73.7955639
Brokered by Cross Country Realty;House for sale;395000;2;2.0;1089.0;111 Sunset Blvd;Bronx, NY 10473;111 Sunset BlvdBronx, NY 10473;United States;New York;Bronx County;The Bronx;Sunset Boulevard;111 Sunset Blvd, Bronx, NY 10473, USA;40.807051;-73.853819
Brokered by COMPASS;House for sale;1250000;4;2.0;2273.0;5037 Fieldston Rd;Bronx, NY 10471;5037 Fieldston RdBronx, NY 10471;United States;New York;Bronx County;The Bronx;Fieldston Road;5037 Fieldston Rd, Bronx, NY 10471, USA;40.8976524;-73.9019402
Brokered by Keller Williams Realty Greater Nassau;Co-op for sale;719000;3;2.0;1440.0;110-11 72nd Ave Unit 4B;Forest Hills, NY 11375;110-11 72nd Ave Unit 4BForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;110-11;110-11 72nd Ave #4b, Forest Hills, NY 11375, USA;40.721289;-73.8403901
Brokered by EXIT REALTY PRIVATE CLIENT;Multi-family home for sale;795000;3;4.0;1171.0;3121 Corlear Ave;Bronx, NY 10463;3121 Corlear AveBronx, NY 10463;United States;New York;Bronx County;The Bronx;Corlear Avenue;3121 Corlear Ave, Bronx, NY 10463, USA;40.8809803;-73.9074446
Brokered by Cypress Estates Realty LLC;Multi-family home for sale;1175000;6;5.0;2184.207862;115-11 142nd St;Jamaica, NY 11436;115-11 142nd StJamaica, NY 11436;United States;New York;Queens County;Queens;142nd Street;115-11 142nd St, Jamaica, NY 11436, USA;40.6820237;-73.800217
Brokered by COMPASS;Condo for sale;4250000;3;4.0;2054.0;255 E 74th St Apt 16C;Manhattan, NY 10021;255 E 74th St Apt 16CManhattan, NY 10021;New York County;New York;Manhattan;East 74th Street;Casa 74;Casa 74, 255 E 74th St #16c, New York, NY 10021, USA;40.7704759;-73.9574549
Brokered by Elegran Real Estate And Development;Townhouse for sale;2500000;3;4.0;2201.0;240 E 29th St;New York, NY 10016;240 E 29th StNew York, NY 10016;United States;New York;New York County;New York;East 29th Street;240 E 29th St, New York, NY 10016, USA;40.741725;-73.9786641
Brokered by 5 Boro Realty Corp;Multi-family home for sale;850000;3;;1600.0;3836 Laurel Ave;Brooklyn, NY 11224;3836 Laurel AveBrooklyn, NY 11224;United States;New York;Kings County;Brooklyn;Laurel Avenue;3836 Laurel Ave, Brooklyn, NY 11224, USA;;
Brokered by Elite Real Estate Group 1 Llc;House for sale;1350000;4;2.0;2948.0;1932 Narragansett Ave;Bronx, NY 10461;1932 Narragansett AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Narragansett Avenue;1932 Narragansett Ave, Bronx, NY 10461, USA;40.8548137;-73.8500157
Brokered by Robert DeFalco Realty, Inc.;House for sale;929000;5;;2200.0;314 Montreal Ave;Staten Island, NY 10306;314 Montreal AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Montreal Avenue;314 Montreal Ave, Staten Island, NY 10306, USA;40.5592121;-74.1263587
Brokered by EXIT HOME KEY REALTY;Townhouse for sale;549990;3;2.0;2184.207862;216 Hett Ave;Staten Island, NY 10306;216 Hett AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Hett Avenue;216 Hett Ave, Staten Island, NY 10306, USA;40.5610279;-74.1050355
Brokered by Corcoran West Side;Multi-family home for sale;34000000;3;8.0;2184.207862;217 W 21st St;New York, NY 10011;217 W 21st StNew York, NY 10011;United States;New York;New York County;New York;West 21st Street;217 W 21st St, New York, NY 10011, USA;40.7433901;-73.9973776
Brokered by Berkshire Hathaway;Multi-family home for sale;1550000;6;6.0;2184.207862;4409 Atlantic Ave;Brooklyn, NY 11224;4409 Atlantic AveBrooklyn, NY 11224;United States;New York;Kings County;Brooklyn;Atlantic Avenue;4409 Atlantic Ave, Brooklyn, NY 11224, USA;40.5757051;-74.0098832
Brokered by COMPASS;Co-op for sale;265000;1;1.0;2184.207862;1777 Madison Ave Apt 32;Manhattan, NY 10035;1777 Madison Ave Apt 32Manhattan, NY 10035;New York;New York County;New York;Manhattan;1777;1777 Madison Ave Apt 32, New York, NY 10035, USA;40.8003865;-73.9443376
Brokered by Milgram Brokerage;House for sale;879000;4;;1630.0;164-47 73rd Ave;Fresh Meadows, NY 11366;164-47 73rd AveFresh Meadows, NY 11366;United States;New York;Queens County;Queens;73rd Avenue;164-47 73rd Ave, Flushing, NY 11366, USA;40.7282179;-73.8032584
Brokered by Nest Seekers International, Westside;Land for sale;1200000;3;;2184.207862;2316 1st Ave;New York, NY 10035;2316 1st AveNew York, NY 10035;United States;New York;New York County;New York;1st Avenue;2316 1st Ave., New York, NY 10035, USA;40.797735;-73.933806
Brokered by Douglas Elliman - 575 Madison Ave;Townhouse for sale;7500000;4;2.0;4250.0;167 E 80th St;New York, NY 10075;167 E 80th StNew York, NY 10075;United States;New York;New York County;New York;East 80th Street;167 E 80th St, New York, NY 10075, USA;40.77551;-73.957627
Brokered by Floral Homes Inc;Co-op for sale;325000;2;1.0;2184.207862;268-25 82nd Ave Unit 279B;New Hyde Park, NY 11040;268-25 82nd Ave Unit 279BNew Hyde Park, NY 11040;New York;Queens County;Queens;Floral Park;26825;26825 82nd Ave # 279b, Queens, NY 11040, USA;40.7427699;-73.70245
Brokered by Jamie & Connie Real Estate Grp;House for sale;755000;2;2.0;2184.207862;202-24 45th Rd;Bayside, NY 11361;202-24 45th RdBayside, NY 11361;United States;New York;Queens County;Queens;45th Road;202-24 45th Rd, Flushing, NY 11361, USA;40.7565607;-73.7796734
Brokered by TREBACH REALTY INC;Co-op for sale;325000;2;2.0;2184.207862;3875 Waldo Ave Apt 2E;Bronx, NY 10463;3875 Waldo Ave Apt 2EBronx, NY 10463;New York;Bronx County;The Bronx;Fieldston;3875;3875 Waldo Ave #2e, Bronx, NY 10463, USA;40.8890553;-73.9033819
Brokered by Douglas Elliman  -111 Fifth Ave;Co-op for sale;1395000;2;1.0;2184.207862;258 Broadway Apt 3D;New York, NY 10007;258 Broadway Apt 3DNew York, NY 10007;New York;New York County;New York;Manhattan;258;258 Broadway #3d, New York, NY 10007, USA;40.7134524;-74.0070904
Brokered by Robert DeFalco Realty, Inc.;House for sale;649000;3;2.0;980.0;1056 Arden Ave;Staten Island, NY 10312;1056 Arden AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Arden Avenue;1056 Arden Ave, Staten Island, NY 10312, USA;40.5434215;-74.174846
Brokered by RE MAX Central;House for sale;499999;2;1.0;800.0;118 Cannon Ave;Staten Island, NY 10314;118 Cannon AveStaten Island, NY 10314;;New York;Richmond County;Staten Island;Cannon Avenue;118 Cannon Ave, Staten Island, NY 10314, USA;40.594453;-74.1889609
Brokered by RE MAX Elite;Multi-family home for sale;999998;4;4.0;2720.0;220 Nome Ave;Staten Island, NY 10314;220 Nome AveStaten Island, NY 10314;United States;New York;Richmond County;Staten Island;Nome Avenue;220 Nome Ave, Staten Island, NY 10314, USA;40.5862681;-74.1585168
Brokered by Coldwell Banker American Homes;Multi-family home for sale;1358000;6;3.0;2184.207862;1016 Putnam Ave;Bedford Stuyvesant, NY 11221;1016 Putnam AveBedford Stuyvesant, NY 11221;United States;New York;Kings County;Brooklyn;Putnam Avenue;1016 Putnam Ave, Brooklyn, NY 11221, USA;40.6871306;-73.9215141
Brokered by TREBACH REALTY INC;House for sale;1650000;5;4.0;2184.207862;617 W 227th St;Bronx, NY 10463;617 W 227th StBronx, NY 10463;;New York;Bronx County;The Bronx;West 227th Street;617 W 227th St, Bronx, NY 10463, USA;40.8806865;-73.9157055
Brokered by Keller Williams NYC;Co-op for sale;680000;1;1.0;2184.207862;299 Henry St Unit D1;Brooklyn, NY 11201;299 Henry St Unit D1Brooklyn, NY 11201;New York;Kings County;Brooklyn;Brooklyn Heights;299;299 Henry St d1, Brooklyn, NY 11201, USA;40.6915357;-73.9956516
Brokered by RE MAX Edge;Co-op for sale;258888;1;1.0;650.0;9031 Fort Hamilton Pkwy Apt 6C;Brooklyn, NY 11209;9031 Fort Hamilton Pkwy Apt 6CBrooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;9031;9031 Fort Hamilton Pkwy #6c, Brooklyn, NY 11209, USA;40.617279;-74.0267532
Brokered by Keller Williams Realty Greater Nassau;Townhouse for sale;660000;3;;1283.0;1761 Tenbroeck Ave;Bronx, NY 10461;1761 Tenbroeck AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Tenbroeck Avenue;1761 Tenbroeck Ave, Bronx, NY 10461, USA;40.851494;-73.8492232
Brokered by Douglas Elliman - 575 Madison Ave;Co-op for sale;300000;1;1.0;2184.207862;315 E 77th St Apt 4D;New York, NY 10075;315 E 77th St Apt 4DNew York, NY 10075;New York;New York County;New York;Manhattan;315;315 E 77th St #4d, New York, NY 10075, USA;40.7719231;-73.955157
Brokered by Red Door Realty Group;Townhouse for sale;318888;2;2.0;1270.0;42 Post Ln;Staten Island, NY 10303;42 Post LnStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Post Lane;42 Post Ln, Staten Island, NY 10303, USA;40.6384591;-74.1646633
Brokered by COMPASS;Co-op for sale;330000;1;2.0;2184.207862;303 E 57th St Apt 19B;Manhattan, NY 10022;303 E 57th St Apt 19BManhattan, NY 10022;New York;New York County;New York;Manhattan;303;303 E 57th St #19b, New York, NY 10022, USA;40.7595774;-73.964779
Brokered by Douglas Elliman - 575 Madison Ave;Condo for sale;747000;11;1.0;747.0;400 Central Park W Apt 8H;New York, NY 10025;400 Central Park W Apt 8HNew York, NY 10025;New York;New York County;New York;Manhattan;400;400 Central Park W #8h, New York, NY 10025, USA;40.7942099;-73.9636725
Brokered by KELLER WILLIAMS REALTY LANDMARK II;House for sale;699000;2;2.0;2184.207862;78-18 74th St;Glendale, NY 11385;78-18 74th StGlendale, NY 11385;United States;New York;Queens County;Queens;74th Street;78-18 74th St, Flushing, NY 11385, USA;40.7037872;-73.8752532
Brokered by COMPASS;Co-op for sale;875000;1;1.0;2184.207862;15 W 72nd St Apt 5T;Manhattan, NY 10023;15 W 72nd St Apt 5TManhattan, NY 10023;New York;New York County;New York;Manhattan;15;15 W 72nd St #5b, New York, NY 10023, USA;40.7769649;-73.9769247
Brokered by COMPASS;Co-op for sale;385000;2;2.0;1100.0;640 W 231st St Apt 7C;Bronx, NY 10463;640 W 231st St Apt 7CBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;640;640 W 231st St #7c, Bronx, NY 10463, USA;40.8827696;-73.9148245
Brokered by Douglas Elliman - 1995 Broadway;Co-op for sale;985000;3;2.0;2184.207862;84-12 35th Ave Unit 4C;Queens, NY 11372;84-12 35th Ave Unit 4CQueens, NY 11372;Queens County;Queens;Jackson Heights;35th Avenue;The Belvedere;The Belvedere, 84-12 35th Ave #4c, Jackson Heights, NY 11372, USA;40.7518439;-73.8822788
Brokered by Belle Harbor Realty;Co-op for sale;349000;1;1.0;1017.0;13811 Beach Channel Dr Unit 8C;Brooklyn, NY 11694;13811 Beach Channel Dr Unit 8CBrooklyn, NY 11694;New York;Queens County;Queens;Rockaway Park;13811;13811 Beach Channel Dr #8c, Rockaway Park, NY 11694, USA;40.5781687;-73.8586706
Brokered by Coldwell Banker Warburg;Townhouse for sale;5950000;4;4.0;2184.207862;422 E 84th St;New York, NY 10028;422 E 84th StNew York, NY 10028;United States;New York;New York County;New York;East 84th Street;422 E 84th St, New York, NY 10028, USA;;
Brokered by EXIT REALTY ONE;House for sale;968000;3;2.0;1344.0;61-23 Booth St;Rego Park, NY 11374;61-23 Booth StRego Park, NY 11374;United States;New York;Queens County;Queens;Booth Street;61-23 Booth St, Flushing, NY 11374, USA;40.7309404;-73.8683812
Brokered by RE MAX 1st Choice;Condo for sale;569000;2;2.0;2184.207862;64-34 Grand Central Pkwy Unit 2A;Forest Hills, NY 11375;64-34 Grand Central Pkwy Unit 2AForest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;64-34;64-34 Grand Central Pkwy #2a, Forest Hills, NY 11375, USA;40.7332174;-73.8448704
Brokered by Robert Defalco Realty Inc.;Condo for sale;238000;1;1.0;650.0;20 Cliff St Apt 8F;Staten Island, NY 10305;20 Cliff St Apt 8FStaten Island, NY 10305;New York;Richmond County;Staten Island;Shore Acres;20;20 Cliff St #8f, Staten Island, NY 10305, USA;40.6109595;-74.060351
Brokered by Douglas Elliman - Roslyn;Multi-family home for sale;1200000;6;6.0;5712.0;71-12 66th St;Glendale, NY 11385;71-12 66th StGlendale, NY 11385;;New York;Queens County;Queens;66th Street;71-12 66th St, Flushing, NY 11385, USA;40.7023326;-73.8891107
Brokered by Douglas Elliman  -111 Fifth Ave;Co-op for sale;4995000;4;3.0;2184.207862;255 W 90th St Apt 9C;New York, NY 10024;255 W 90th St Apt 9CNew York, NY 10024;;New York County;New York;Manhattan;255;255 W 90th St #9c, New York, NY 10024, USA;40.7910972;-73.9748583
Brokered by REALHome Services & Solutions;House for sale;911600;3;2.0;1596.0;32-26 Parsons Blvd;Flushing, NY 11354;32-26 Parsons BlvdFlushing, NY 11354;United States;New York;Queens County;Queens;Parsons Boulevard;32-26 Parsons Blvd, Flushing, NY 11354, USA;40.7685072;-73.8246067
Brokered by Howard Hanna | Rand Realty;House for sale;598000;3;2.0;1144.0;3088 Heath Ave;Bronx, NY 10463;3088 Heath AveBronx, NY 10463;United States;New York;Bronx County;The Bronx;Heath Avenue;3088 Heath Ave, Bronx, NY 10463, USA;40.87796;-73.9011666
Brokered by Keller Williams Legendary;Condo for sale;472000;1;1.0;700.0;85-28 Grand Ave Unit 4C;Elmhurst, NY 11373;85-28 Grand Ave Unit 4CElmhurst, NY 11373;New York;Queens County;Queens;Elmhurst;85-28;85-28 Grand Ave #4c, Elmhurst, NY 11373, USA;40.73531;-73.8812513
Brokered by Fillmore Real Estate;House for sale;549000;1;2.0;2184.207862;133-38 130th St;South Ozone Park, NY 11420;133-38 130th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;130th Street;133-38 130th St, Jamaica, NY 11420, USA;40.669243;-73.809973
Brokered by Joanne Costa Realty;Multi-family home for sale;3995000;3;;12200.0;639 Tompkins Ave;Staten Island, NY 10305;639 Tompkins AveStaten Island, NY 10305;United States;New York;Richmond County;Staten Island;Tompkins Avenue;639 Tompkins Ave., Staten Island, NY 10305, USA;40.6107278;-74.0701607
