Age,Education,Geography,EstimatedSalary,Tenure
43,Bachelors,France,77703.19,7
32,PHD,France,172638.13,5
36,Masters,Spain,3173.31,4
38,Bachelors,France,183042.2,9
44,Bachelors,Spain,149756.71,8
39,Bachelors,Germany,73641.86,9
39,Bachelors,France,113086.08,3
37,Bachelors,Spain,197890.65,1
28,PHD,Spain,14665.28,6
46,Bachelors,France,102950.79,1
44,Bachelors,France,149665.65,2
42,Masters,Spain,22909.56,3
36,Masters,France,38629.3,4
29,Bachelors,France,37160.28,6
39,Bachelors,Spain,58467.08,2
33,Bachelors,France,76257.46,2
33,PHD,France,39451.09,8
38,Masters,Germany,75959.1,1
35,PHD,France,3385.04,1
34,Bachelors,Spain,191076.22,3
38,Masters,France,169920.92,5
29,Bachelors,France,80393.27,9
29,Masters,France,129891.66,0
29,Bachelors,France,143301.49,5
44,Masters,Spain,12405.2,4
44,Masters,France,57898.58,7
43,Bachelors,France,97508.04,8
48,PHD,France,30165.06,4
21,Masters,France,155782.89,8
44,Masters,Germany,53072.49,2
51,PHD,France,92243.94,4
29,Masters,Spain,36176.63,2
62,Masters,France,142377.69,1
44,Masters,Spain,135077.01,3
37,Bachelors,Germany,2383.59,2
37,Bachelors,France,58974.0,3
31,Masters,France,178252.63,1
45,Masters,France,27822.99,0
40,Masters,Germany,109496.69,3
43,Bachelors,Germany,111249.62,3
37,Bachelors,Spain,111698.0,9
33,Bachelors,France,11205.5,7
37,Bachelors,Germany,152422.91,8
49,Masters,Spain,190457.87,7
62,Bachelors,Germany,121102.9,9
60,Bachelors,France,102925.76,8
39,Masters,France,24677.54,6
25,Bachelors,Spain,23180.37,7
32,Masters,France,101057.95,6
37,Masters,Germany,25292.53,8
48,Masters,Germany,88307.87,6
39,PHD,France,80552.36,10
29,Bachelors,France,189680.79,3
30,Bachelors,Spain,41192.95,8
28,Bachelors,France,131097.9,7
35,Masters,Spain,76637.38,0
43,Masters,France,143628.31,8
40,Masters,France,86950.72,6
47,Masters,Spain,32080.69,6
52,Bachelors,Germany,131473.31,8
67,Masters,France,21343.74,10
40,Masters,France,107876.2,8
38,Bachelors,France,79928.41,3
39,Bachelors,Spain,12440.44,9
36,Masters,France,185144.08,5
41,Bachelors,France,143882.25,5
34,Bachelors,Germany,138478.2,1
61,Masters,France,8643.21,5
33,Bachelors,Germany,127256.7,10
44,Bachelors,Germany,41852.24,5
38,Bachelors,Germany,7387.8,6
58,Bachelors,Germany,60891.8,9
35,PHD,Germany,17242.79,0
21,Bachelors,France,66232.23,1
36,Bachelors,Spain,152979.14,5
37,Masters,Spain,166177.3,3
36,Masters,France,190911.02,4
30,Masters,Spain,180593.45,2
47,Bachelors,France,16119.96,10
42,Masters,Spain,128449.33,3
48,Bachelors,France,44965.54,8
22,Bachelors,Spain,118142.79,7
39,Masters,France,194945.8,1
48,Bachelors,Spain,71139.8,8
29,Bachelors,Spain,179032.68,2
21,Masters,France,194563.65,8
25,Masters,France,73656.38,2
44,Masters,France,69865.49,4
45,Masters,France,30793.61,3
36,Bachelors,Spain,108377.82,1
21,PHD,Spain,154882.79,9
51,Bachelors,France,144184.06,5
50,Masters,Germany,16528.4,4
53,Bachelors,Germany,106345.05,3
40,Bachelors,France,69080.46,8
26,Masters,Spain,83253.05,8
43,Bachelors,Germany,23970.13,8
54,Bachelors,Spain,53843.71,2
41,Bachelors,France,55663.85,8
28,Masters,Spain,45042.56,3
41,Bachelors,France,102402.91,2
34,Bachelors,Spain,60688.38,4
42,Bachelors,Germany,25669.1,3
44,Bachelors,France,52629.73,1
32,Bachelors,France,77304.49,3
33,Bachelors,France,7666.73,3
48,Masters,Germany,120852.85,4
55,PHD,Germany,123269.71,4
37,Bachelors,Germany,143665.44,4
55,PHD,France,122066.5,8
48,Masters,Spain,44147.95,0
37,Bachelors,France,75698.44,3
52,Masters,France,56407.42,8
40,Bachelors,France,153537.55,5
41,Bachelors,France,37674.47,7
43,Bachelors,Spain,123181.44,4
43,PHD,France,182627.25,7
29,Masters,Germany,119346.88,4
78,Bachelors,France,76016.49,5
32,Masters,France,46019.43,1
58,Bachelors,France,62449.07,4
33,Bachelors,France,113943.17,4
46,Bachelors,France,76946.6,5
59,Masters,Germany,163141.18,7
30,Masters,Germany,44384.57,4
44,PHD,France,175518.31,6
32,PHD,France,148210.64,9
44,Bachelors,Germany,82463.69,3
47,Bachelors,Spain,38970.14,5
43,Bachelors,France,7330.59,6
26,PHD,France,70454.79,5
43,Bachelors,Germany,194690.77,7
46,Bachelors,Germany,177719.88,4
38,Bachelors,France,80416.16,9
28,Bachelors,Germany,106024.02,3
27,Bachelors,France,159800.16,3
39,Bachelors,Germany,131852.01,7
31,Masters,France,149740.22,2
42,Bachelors,France,82565.01,3
37,Bachelors,France,104217.96,6
20,Masters,France,149613.77,3
46,Bachelors,Germany,92727.42,4
37,Bachelors,Spain,24734.25,7
40,Bachelors,France,70196.57,9
35,Bachelors,France,37976.36,6
43,Bachelors,France,109041.53,6
31,Bachelors,Spain,82152.83,3
38,Masters,Spain,92797.23,3
30,Bachelors,France,160948.87,7
60,Bachelors,Spain,93844.82,3
47,Bachelors,France,125440.11,9
61,Masters,France,29132.43,5
28,Masters,Spain,76304.73,1
32,Masters,France,90967.37,3
37,Bachelors,Germany,26912.34,8
32,Bachelors,France,878.87,0
43,Bachelors,France,80262.91,1
38,Bachelors,Spain,95403.41,8
45,Bachelors,France,77878.62,10
45,Masters,Spain,131807.14,4
44,Bachelors,France,27431.62,8
62,Bachelors,Germany,74241.09,4
24,Bachelors,Germany,71638.0,5
38,Masters,Germany,83844.79,7
35,Bachelors,Germany,24799.47,10
46,PHD,France,93251.42,4
41,Bachelors,France,132719.8,3
22,Bachelors,France,38772.65,0
32,Masters,France,36642.65,1
41,Bachelors,France,121299.14,9
54,Bachelors,Spain,153482.91,0
48,Bachelors,Germany,30020.09,3
37,PHD,Germany,85470.45,9
37,PHD,Germany,149517.71,3
34,Masters,France,161971.42,5
49,Masters,France,12513.07,8
26,Masters,France,117144.15,3
41,Bachelors,Spain,143980.29,5
58,Bachelors,France,2988.28,1
31,Bachelors,Spain,99294.22,9
37,Masters,France,127543.81,5
25,Bachelors,France,48197.06,2
26,Bachelors,France,197001.15,7
34,Bachelors,France,99128.13,6
48,Masters,France,72105.63,9
42,Masters,France,167682.37,4
61,PHD,France,62845.64,1
63,Masters,Germany,100538.8,7
24,Masters,France,162597.15,1
29,Bachelors,France,32089.57,4
37,Bachelors,France,20629.4,1
33,Masters,Germany,107667.91,0
23,Bachelors,Germany,37577.66,3
36,Bachelors,Germany,99019.65,0
48,Bachelors,Germany,191914.37,4
32,Masters,Spain,89520.75,7
47,Bachelors,Spain,28640.92,3
45,Bachelors,Spain,115818.16,8
49,Masters,Spain,149946.43,5
19,PHD,Germany,107994.99,8
29,Bachelors,France,132975.39,1
29,Bachelors,Spain,14174.09,2
39,Bachelors,France,182025.95,9
62,Bachelors,Germany,8444.5,10
58,Bachelors,France,139761.25,8
52,Bachelors,France,171189.83,7
34,Bachelors,France,191092.62,5
35,Masters,Spain,90883.12,2
41,Bachelors,France,172814.99,1
29,Bachelors,Spain,122547.58,7
39,Bachelors,France,170392.59,7
44,Bachelors,France,127444.14,10
34,Bachelors,France,164162.44,2
43,Masters,France,187296.78,6
33,Masters,France,181945.52,5
51,Bachelors,France,56767.67,9
35,Masters,France,148238.16,6
30,Masters,Spain,1790.48,4
46,Masters,Germany,112549.99,3
58,Bachelors,Spain,191419.32,4
58,Bachelors,Germany,10494.64,7
40,Bachelors,Germany,138564.48,6
27,Bachelors,France,144099.48,7
36,Bachelors,Germany,57904.22,2
35,Masters,Germany,69079.85,4
